Market,AREA,A_MEAN,A_MEAN_ME,A_MEAN_SE,A_MEDIAN,A_MEDIAN_ME,A_MEDIAN_SE,EMP_PRSE,JOBS_1000,JOBS_1000_ME,JOBS_1000_SE,MEAN_PRSE,OCC_CODE,OCC_TITLE,PRIM_STATE,TOT_EMP,TOT_EMP_ME,TOT_EMP_SE,YEAR
"Mobile, AL",33660,57300.0,3706.164,1890.9,49970.0,4644.9353412,2369.86497,23.1,12.254360786045485,5.548284389489954,2.8307573415765073,3.3,15-0000,Computer and mathematical science occupations,AL,2220.0,1005.1272000000001,512.82,2008
"Montgomery, AL",33860,62270.0,3051.23,1556.75,62590.0,3824.106559,1951.074775,5.8,22.168504215553327,2.520115559224102,1.2857732445020928,2.5,15-0000,Computer and mathematical science occupations,AL,3760.0,427.4368,218.08,2008
"Tuscaloosa, AL",46220,55890.0,4053.1427999999996,2067.93,52900.0,5079.803871239999,2591.736669,4.7,6.785137318255251,0.6250468497576737,0.3189014539579968,3.7,15-0000,Computer and mathematical science occupations,AL,630.0,58.035599999999995,29.61,2008
"Fayetteville-Springdale-Rogers, AR-MO",22220,61190.0,2518.5804,1284.99,58840.0,3156.53681532,1610.477967,4.8,32.32822540781018,3.0414394463667818,1.5517548195748887,2.1,15-0000,Computer and mathematical science occupations,AR,6540.0,615.2832,313.92,2008
"Fort Smith, AR-OK",22900,49470.0,2908.836,1484.1,46150.0,3645.6441588000002,1860.0225300000002,15.5,7.354142833796372,2.2341885929073375,1.1398921392384376,3.0,15-0000,Computer and mathematical science occupations,AR,900.0,273.42,139.5,2008
"Hot Springs, AR",26300,52880.0,9949.9008,5076.48,48130.0,12470.210672640002,6362.352384000001,29.1,9.505703422053232,5.421673003802282,2.7661596958174908,9.6,15-0000,Computer and mathematical science occupations,AR,350.0,199.62599999999998,101.85,2008
"Jonesboro, AR",27860,44810.0,4830.518,2464.55,39260.0,6054.0882094,3088.820515,9.9,11.21262458471761,2.175697674418605,1.1100498338870433,5.5,15-0000,Computer and mathematical science occupations,AR,540.0,104.7816,53.46,2008
"Little Rock-North Little Rock, AR",30780,57930.0,4428.1692,2259.27,55600.0,5549.82445836,2831.543091,12.6,25.95859692892572,6.410735097567495,3.2707832130446404,3.9,15-0000,Computer and mathematical science occupations,AR,8740.0,2158.4304,1101.24,2008
"Pine Bluff, AR",38220,52250.0,5939.78,3030.5,46850.0,7444.326274,3798.12565,10.3,7.479224376731302,1.5099058171745152,0.7703601108033241,5.8,15-0000,Computer and mathematical science occupations,AR,270.0,54.5076,27.81,2008
"Flagstaff, AZ",22380,61520.0,4943.7472,2522.3199999999997,55880.0,6195.99836576,3161.2236559999997,18.0,12.736660929432013,4.493493975903614,2.2925989672977622,4.1,15-0000,Computer and mathematical science occupations,AZ,740.0,261.07199999999995,133.2,2008
"Lake Havasu City-Kingman, AZ",29420,53770.0,4742.514,2419.65,48230.0,5943.7927962,3032.5473450000004,10.0,4.948535233570863,0.9699129057798891,0.49485352335708627,4.5,15-0000,Computer and mathematical science occupations,AZ,250.0,49.0,25.0,2008
"Phoenix-Mesa-Scottsdale, AZ",38060,69200.0,3933.328,2006.8,64040.0,4929.6399824,2515.12244,2.7,23.406664338698242,1.238680676803911,0.6319799371448526,2.9,15-0000,Computer and mathematical science occupations,AZ,44240.0,2341.1808000000005,1194.4800000000002,2008
"Prescott, AZ",39140,48220.0,4536.5376,2314.56,41860.0,5685.6425740800005,2900.8380480000005,16.2,6.594820653048094,2.093987453755831,1.0683609457937913,4.8,15-0000,Computer and mathematical science occupations,AZ,410.0,130.1832,66.42,2008
"Tucson, AZ",46060,73850.0,6224.078,3175.55,71820.0,7800.6369574,3979.916815,4.0,24.468394989804835,1.918322167200699,0.9787357995921934,4.3,15-0000,Computer and mathematical science occupations,AZ,9240.0,724.416,369.6,2008
"Yuma, AZ",49740,59450.0,7107.842,3626.45,53110.0,8908.258378600001,4545.029785000001,6.3,5.544683626875408,0.6846575342465754,0.3493150684931507,6.1,15-0000,Computer and mathematical science occupations,AZ,340.0,41.983200000000004,21.42,2008
"Bakersfield, CA",12540,76580.0,4202.7104,2144.24,74750.0,5267.256944319999,2687.3759919999998,6.1,11.8142213689729,1.4125083068743995,0.7206675035073468,2.8,15-0000,Computer and mathematical science occupations,CA,3200.0,382.592,195.2,2008
"Chico, CA",17020,60360.0,6388.5024,3259.44,52290.0,8006.7100579200005,4085.056152,8.5,8.864265927977838,1.4767867036011078,0.7534626038781163,5.4,15-0000,Computer and mathematical science occupations,CA,640.0,106.624,54.4,2008
"El Centro, CA",20940,59130.0,6837.7932,3488.67,53160.0,8569.806217559999,4372.350111,11.5,4.479283314669653,1.0096304591265397,0.51511758118701,5.9,15-0000,Computer and mathematical science occupations,CA,240.0,54.096000000000004,27.6,2008
"Fresno, CA",23420,60080.0,2943.92,1502.0,57940.0,3689.614936,1882.4566,7.5,8.065729677671774,1.1856622626177509,0.6049297258253831,2.5,15-0000,Computer and mathematical science occupations,CA,2680.0,393.96,201.0,2008
"Hanford-Corcoran, CA",25260,63030.0,4818.0132,2458.17,60580.0,6038.41594356,3080.824461,7.8,4.894384337970118,0.7482534775888716,0.3817619783616692,3.9,15-0000,Computer and mathematical science occupations,CA,190.0,29.0472,14.82,2008
"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",31084,78180.0,3064.656,1563.6,75130.0,3840.9333648,1959.6598800000002,2.5,21.532744962313487,1.0551045031533608,0.5383186240578371,2.0,15-0000,Computer and mathematical science occupations,CA,89590.0,4389.91,2239.75,2008
"Madera, CA",31460,60930.0,3104.9928,1584.18,58730.0,3891.48747624,1985.452794,12.2,6.117767015039511,1.4628804486362477,0.7463675758348203,2.6,15-0000,Computer and mathematical science occupations,CA,240.0,57.3888,29.28,2008
"Merced, CA",32900,55940.0,4166.4112,2125.72,51910.0,5221.76315696,2664.164876,15.8,5.332902391725921,1.6514932126696835,0.8425985778926957,3.8,15-0000,Computer and mathematical science occupations,CA,330.0,102.1944,52.14,2008
"Modesto, CA",33700,70150.0,5224.772,2665.7,65920.0,6548.2067476,3340.9218100000003,11.5,6.4840625378741965,1.4615076960368438,0.7456671918555325,3.8,15-0000,Computer and mathematical science occupations,CA,1070.0,241.178,123.05,2008
"Napa, CA",34900,74920.0,7489.0032,3820.92,68490.0,9385.96771056,4788.759036,12.3,8.092125739184562,1.9508496732026142,0.9953314659197011,5.1,15-0000,Computer and mathematical science occupations,CA,520.0,125.3616,63.96,2008
"Oakland-Fremont-Hayward, CA Metropolitan Division",36084,84590.0,2486.946,1268.85,81250.0,3116.8894218,1590.249705,4.6,33.95240299313431,3.0611486538609887,1.561810537684178,1.5,15-0000,Computer and mathematical science occupations,CA,35210.0,3174.5336,1619.66,2008
"Oxnard-Thousand Oaks-Ventura, CA",37100,76450.0,4045.734,2064.15,75530.0,5070.518422200001,2586.9991950000003,8.2,24.232633279483036,3.894668820678513,1.9870759289176088,2.7,15-0000,Computer and mathematical science occupations,CA,7350.0,1181.292,602.6999999999999,2008
"Redding, CA",39820,56290.0,4633.792799999999,2364.18,54530.0,5807.53251624,2963.0267940000003,14.3,9.41358024691358,2.6384382716049384,1.346141975308642,4.2,15-0000,Computer and mathematical science occupations,CA,610.0,170.9708,87.23,2008
"Riverside-San Bernardino-Ontario, CA",40140,68300.0,4417.644,2253.9,65090.0,5536.6332252,2824.81287,6.5,9.808065627152608,1.2495475608992423,0.6375242657649196,3.3,15-0000,Computer and mathematical science occupations,CA,12530.0,1596.3220000000001,814.45,2008
"Sacramento--Arden-Arcade--Roseville, CA",40900,71520.0,2242.8671999999997,1144.32,71200.0,2810.98546176,1434.176256,3.3,30.35722269414763,1.9635051638574685,1.0017883489068717,1.6,15-0000,Computer and mathematical science occupations,CA,27160.0,1756.7087999999999,896.28,2008
"Salinas, CA",41500,81860.0,8182.725599999999,4174.86,78220.0,10255.40999448,5232.352038,8.7,12.44393910681574,2.12194049649422,1.0826227022929693,5.1,15-0000,Computer and mathematical science occupations,CA,1970.0,335.9244,171.39,2008
"San Diego-Carlsbad-San Marcos, CA",41740,75570.0,1777.4064,906.84,73670.0,2227.6234411200003,1136.542572,2.9,27.64171276130763,1.5711549533527256,0.8016096700779213,1.2,15-0000,Computer and mathematical science occupations,CA,36680.0,2084.8912,1063.72,2008
"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",41884,93000.0,2369.64,1209.0,92410.0,2969.869812,1515.2397,3.1,48.844072798819475,2.9677658632562713,1.5141662567634038,1.3,15-0000,Computer and mathematical science occupations,CA,49650.0,3016.734,1539.15,2008
"San Jose-Sunnyvale-Santa Clara, CA",41940,102480.0,2812.0512,1434.72,101740.0,3524.34376896,1798.1345760000002,3.6,87.9920322175551,6.208717793270688,3.167713159831984,1.4,15-0000,Computer and mathematical science occupations,CA,81280.0,5735.1168,2926.08,2008
"San Luis Obispo-Paso Robles, CA",42020,62210.0,3901.8112,1990.72,58600.0,4890.13997696,2494.969376,9.9,9.71151099685804,1.8844215938303341,0.961439588688946,3.2,15-0000,Computer and mathematical science occupations,CA,1020.0,197.9208,100.98,2008
"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",42044,77500.0,2582.2999999999997,1317.5,74280.0,3236.3965900000003,1651.2227500000001,4.6,26.14241981265036,2.357000570308556,1.2025513113819164,1.7,15-0000,Computer and mathematical science occupations,CA,39880.0,3595.5808,1834.48,2008
"Santa Barbara-Santa Maria, CA",42060,73350.0,4600.512,2347.2,68710.0,5765.821689599999,2941.74576,11.6,25.579177651876368,5.815681830930611,2.967184607617659,3.2,15-0000,Computer and mathematical science occupations,CA,4560.0,1036.7616,528.96,2008
"Santa Cruz-Watsonville, CA",42100,73570.0,5912.0851999999995,3016.37,71680.0,7409.61638116,3780.416521,13.7,19.982238010657195,5.3656305506216695,2.7375666074600353,4.1,15-0000,Computer and mathematical science occupations,CA,1800.0,483.33599999999996,246.6,2008
"Santa Rosa-Petaluma, CA",42220,82470.0,5657.441999999999,2886.45,76230.0,7090.4720586,3617.587785,9.1,17.385219871898382,3.1008278163517957,1.582055008342753,3.5,15-0000,Computer and mathematical science occupations,CA,3230.0,576.1028,293.93,2008
"Stockton, CA",44700,68590.0,6049.638,3086.55,64300.0,7582.0113054,3868.3731150000003,12.9,7.965913301222676,2.0141015190811413,1.0276028158577253,4.5,15-0000,Computer and mathematical science occupations,CA,1720.0,434.8848,221.88,2008
"Vallejo-Fairfield, CA",46700,74890.0,4256.7476,2171.81,69980.0,5334.98176708,2721.929473,9.0,12.278308321964529,2.165893587994543,1.1050477489768076,2.9,15-0000,Computer and mathematical science occupations,CA,1530.0,269.892,137.7,2008
"Visalia-Porterville, CA",47300,59880.0,4577.2272,2335.32,53520.0,5736.63884976,2926.856556,13.3,5.668016194331984,1.4775384615384615,0.7538461538461538,3.9,15-0000,Computer and mathematical science occupations,CA,770.0,200.72359999999998,102.41,2008
"Yuba City, CA",49700,61760.0,8594.5216,4384.96,56730.0,10771.51392128,5495.670368,7.6,9.460496036819228,1.409235489644592,0.7189976987982613,7.1,15-0000,Computer and mathematical science occupations,CA,370.0,55.1152,28.12,2008
"Boulder, CO",14500,88860.0,5921.630399999999,3021.24,83000.0,7421.57938032,3786.520092,3.8,78.39318320146074,5.838724284844796,2.9789409616555083,3.4,15-0000,Computer and mathematical science occupations,CO,12880.0,959.3024,489.44,2008
"Colorado Springs, CO",17820,76180.0,2389.0048,1218.88,75800.0,2994.13971584,1527.622304,4.4,45.642012647786636,3.9361671707451196,2.008248556502612,1.6,15-0000,Computer and mathematical science occupations,CO,11620.0,1002.1088000000002,511.2800000000001,2008
"Denver-Aurora, CO",19740,79630.0,1716.8228,875.93,77700.0,2151.69401524,1097.803069,3.0,42.59912841880512,2.5048287510257414,1.2779738525641537,1.1,15-0000,Computer and mathematical science occupations,CO,53470.0,3144.0359999999996,1604.1,2008
"Fort Collins-Loveland, CO",22660,78240.0,6900.768,3520.8,75260.0,8648.7325344,4412.61864,6.7,27.247956403269754,3.5782016348773844,1.8256130790190737,4.5,15-0000,Computer and mathematical science occupations,CO,3600.0,472.75199999999995,241.2,2008
"Grand Junction, CO",24300,68500.0,8055.599999999999,4110.0,60290.0,10096.08348,5151.063,15.1,9.023525620367385,2.6706026426039315,1.3625523686754752,6.0,15-0000,Computer and mathematical science occupations,CO,560.0,165.73760000000001,84.56,2008
"Greeley, CO",24540,65710.0,6825.9548,3482.63,59490.0,8554.969150840001,4364.780179,6.6,11.305112423062429,1.4624293430473556,0.7461374199221202,5.3,15-0000,Computer and mathematical science occupations,CO,900.0,116.42399999999999,59.4,2008
"Pueblo, CO",39380,53300.0,2611.7,1332.5,49510.0,3273.24361,1670.02225,10.1,7.039774727208729,1.3935938049982401,0.7110172474480817,2.5,15-0000,Computer and mathematical science occupations,CO,400.0,79.184,40.4,2008
"Bridgeport-Stamford-Norwalk, CT",71950,84840.0,3658.3008000000004,1866.4800000000002,80470.0,4584.948392640001,2339.2593840000004,3.3,32.37625587611762,2.094096230067288,1.0684164439118815,2.2,15-0000,Computer and mathematical science occupations,CT,14050.0,908.7539999999999,463.65,2008
"Danbury, CT",72850,75460.0,6655.571999999999,3395.7,70720.0,8341.4283876,4255.83081,14.4,19.327030033370413,5.454860956618466,2.78309232480534,4.5,15-0000,Computer and mathematical science occupations,CT,1390.0,392.3136,200.16,2008
"Hartford-West Hartford-East Hartford, CT",73450,76420.0,1348.0488,687.78,75550.0,1689.50956104,861.994674,4.3,35.31456378171707,2.9763114355231144,1.518526242613834,0.9,15-0000,Computer and mathematical science occupations,CT,20320.0,1712.5696,873.76,2008
"New Haven, CT",75700,74450.0,3502.1279999999997,1786.8,71810.0,4389.2170224,2239.39644,8.7,19.14095669402774,3.26391593546561,1.6652632323804133,2.4,15-0000,Computer and mathematical science occupations,CT,5410.0,922.5131999999998,470.6699999999999,2008
"Norwich-New London, CT-RI",76450,81110.0,4292.3412,2189.97,78690.0,5379.59122596,2744.689401,13.4,21.009329317564095,5.517890251965034,2.815250128553589,2.7,15-0000,Computer and mathematical science occupations,CT,2860.0,751.1504,383.24,2008
"Waterbury, CT",78700,65110.0,4211.3148,2148.63,62120.0,5278.040838839999,2692.877979,11.1,9.68736239542052,2.107582562747688,1.0752972258916775,3.3,15-0000,Computer and mathematical science occupations,CT,660.0,143.58960000000002,73.26,2008
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47894,89390.0,1752.0439999999999,893.9,87400.0,2195.8367452,1120.3248700000001,1.6,73.03938647087415,2.2905151597266133,1.1686301835339865,1.0,15-0000,Computer and mathematical science occupations,DC,169810.0,5325.2416,2716.96,2008
"Dover, DE",20100,61470.0,3373.4736000000003,1721.16,59320.0,4227.97446288,2157.129828,6.7,16.986209216279853,2.2306289942818704,1.1380760174907503,2.8,15-0000,Computer and mathematical science occupations,DE,1010.0,132.6332,67.67,2008
"Wilmington, DE-MD-NJ Metropolitan Division",48864,79560.0,3274.6895999999997,1670.76,76250.0,4104.1684756800005,2093.9635080000003,4.7,33.16116915130884,3.05480690221857,1.5585749501115154,2.1,15-0000,Computer and mathematical science occupations,DE,11300.0,1040.9560000000001,531.1,2008
"Bradenton-Sarasota-Venice, FL",14600,59630.0,3272.4944,1669.64,55320.0,4101.417231519999,2092.559812,8.4,11.003356956359566,1.8115926892950391,0.9242819843342036,2.8,15-0000,Computer and mathematical science occupations,FL,2950.0,485.688,247.8,2008
"Cape Coral-Fort Myers, FL",15980,66580.0,5350.3688,2729.78,60340.0,6705.6172170400005,3421.233274,6.1,11.696723985274243,1.3984603196793886,0.7135001631017288,4.1,15-0000,Computer and mathematical science occupations,FL,2510.0,300.09560000000005,153.11,2008
"Deltona-Daytona Beach-Ormond Beach, FL",19660,53460.0,1676.5056,855.36,50700.0,2101.16446848,1072.022688,7.3,10.738831615120274,1.5365120274914088,0.7839347079037801,1.6,15-0000,Computer and mathematical science occupations,FL,1750.0,250.39,127.75,2008
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",22744,59960.0,4818.3856,2458.3599999999997,54880.0,6038.88267248,3081.0625880000002,5.6,24.495696169262104,2.6886476115382085,1.3717589854786778,4.1,15-0000,Computer and mathematical science occupations,FL,18640.0,2045.9263999999998,1043.84,2008
"Fort Walton Beach-Crestview-Destin, FL",23020,65280.0,3838.464,1958.4,63470.0,4810.746931200001,2454.4627200000004,6.1,28.45371443285696,3.4019260975923777,1.7356765804042744,3.0,15-0000,Computer and mathematical science occupations,FL,2210.0,264.2276,134.81,2008
"Gainesville, FL",23540,53550.0,2623.95,1338.75,48560.0,3288.596535,1677.855375,6.0,19.086460032626427,2.2445676998368675,1.1451876019575855,2.5,15-0000,Computer and mathematical science occupations,FL,2340.0,275.184,140.4,2008
"Jacksonville, FL",27260,66890.0,2622.0879999999997,1337.8,65580.0,3286.2628904000003,1676.6647400000002,6.2,21.277649389237375,2.5856599537801257,1.3192142621327172,2.0,15-0000,Computer and mathematical science occupations,FL,12890.0,1566.3927999999999,799.18,2008
"Lakeland, FL",29460,59440.0,2679.5552,1367.12,56510.0,3358.2865321599998,1713.411496,7.9,11.56831161224191,1.7912373700395374,0.9138966173671109,2.3,15-0000,Computer and mathematical science occupations,FL,2370.0,366.9708,187.23,2008
"Miami-Miami Beach-Kendall, FL Metropolitan Division",33124,65290.0,2303.4312,1175.22,63200.0,2886.89032296,1472.9032260000001,4.5,16.596622305237762,1.4638220873219705,0.7468480037356993,1.8,15-0000,Computer and mathematical science occupations,FL,17060.0,1504.692,767.7,2008
"Naples-Marco Island, FL",34940,59660.0,5495.8792,2804.02,53520.0,6887.985401360001,3514.2782660000003,6.4,9.922555663117135,1.2446853823814137,0.6350435624394968,4.7,15-0000,Computer and mathematical science occupations,FL,1230.0,154.2912,78.72,2008
"Ocala, FL",36100,53690.0,4104.0635999999995,2093.91,47450.0,5143.62290988,2624.297403,6.7,7.7330077330077325,1.0154985754985755,0.5181115181115181,3.9,15-0000,Computer and mathematical science occupations,FL,760.0,99.8032,50.92,2008
"Orlando-Kissimmee, FL",36740,62300.0,2320.052,1183.7,59110.0,2907.7211716,1483.53121,4.9,23.891307467827584,2.2945211692101615,1.1706740659235517,1.9,15-0000,Computer and mathematical science occupations,FL,24970.0,2398.1188,1223.5300000000002,2008
"Palm Bay-Melbourne-Titusville, FL",37340,72490.0,3694.0904,1884.74,69580.0,4629.8034983200005,2362.144642,8.1,35.134337171538235,5.57792736935341,2.845881310894597,2.6,15-0000,Computer and mathematical science occupations,FL,7140.0,1133.5464,578.34,2008
"Panama City-Lynn Haven, FL",37460,54160.0,5944.6016,3032.96,51490.0,7450.36918528,3801.2087680000004,16.7,16.434892541087233,5.379469026548673,2.744627054361568,5.6,15-0000,Computer and mathematical science occupations,FL,1170.0,382.96439999999996,195.39,2008
"Pensacola-Ferry Pass-Brent, FL",37860,59050.0,4629.5199999999995,2362.0,55400.0,5802.177416,2960.2946,6.3,14.474271504176496,1.7872830453357138,0.9118791047631193,4.0,15-0000,Computer and mathematical science occupations,FL,2270.0,280.2996,143.01,2008
"Port St. Lucie-Fort Pierce, FL",38940,52630.0,3404.1084,1736.79,51140.0,4266.3690577200005,2176.7189070000004,6.3,8.418288538770467,1.0394902687673773,0.5303521779425394,3.3,15-0000,Computer and mathematical science occupations,FL,1090.0,134.5932,68.67,2008
"Punta Gorda, FL",39460,50980.0,4196.6736,2141.16,48730.0,5259.691022880001,2683.5158280000005,12.1,3.6674816625916873,0.8697799511002445,0.44376528117359415,4.2,15-0000,Computer and mathematical science occupations,FL,150.0,35.574,18.15,2008
"Sebastian-Vero Beach, FL",42680,58770.0,11749.2984,5994.54,51830.0,14725.39568472,7512.956982000001,14.8,6.595744680851064,1.9132936170212766,0.9761702127659575,10.2,15-0000,Computer and mathematical science occupations,FL,310.0,89.9248,45.88,2008
"Tallahassee, FL",45220,55870.0,4380.2080000000005,2234.8,49930.0,5489.7146864,2800.87484,3.2,35.716458777000305,2.240136294493459,1.1429266808640097,4.0,15-0000,Computer and mathematical science occupations,FL,5870.0,368.1664,187.84,2008
"Tampa-St. Petersburg-Clearwater, FL",45300,67930.0,2529.7132,1290.67,64460.0,3170.4895535600003,1617.5967110000001,3.6,25.84484802267848,1.8236124764801935,0.9304145288164253,1.9,15-0000,Computer and mathematical science occupations,FL,31180.0,2200.0608,1122.48,2008
"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",48424,70320.0,3583.5072,1828.32,65570.0,4491.20957376,2291.433456,4.5,20.94931145619689,1.8477292704365658,0.9427190155288601,2.6,15-0000,Computer and mathematical science occupations,FL,11440.0,1009.0079999999999,514.8,2008
"Albany, GA",10500,42350.0,7470.54,3811.5,33390.0,9362.827782000002,4776.952950000001,5.6,13.181448331977217,1.4467957689178192,0.7381611065907241,9.0,15-0000,Computer and mathematical science occupations,GA,810.0,88.90559999999999,45.36,2008
"Athens-Clarke County, GA",12020,51260.0,5626.2976,2870.56,45990.0,7051.43878208,3597.672848,13.2,13.727172447603872,3.5514940556440733,1.811986763083711,5.6,15-0000,Computer and mathematical science occupations,GA,1120.0,289.7664,147.84,2008
"Atlanta-Sandy Springs-Marietta, GA",12060,75280.0,2508.3296,1279.76,72500.0,3143.68948768,1603.9232080000002,2.5,32.014862410486806,1.5687282581138535,0.8003715602621702,1.7,15-0000,Computer and mathematical science occupations,GA,77030.0,3774.47,1925.75,2008
"Augusta-Richmond County, GA-SC",12260,58620.0,3331.9608,1699.98,56320.0,4175.9464706399995,2130.584934,6.5,11.0204665807929,1.4040074423930153,0.7163303277515385,2.9,15-0000,Computer and mathematical science occupations,GA,2310.0,294.294,150.15,2008
"Brunswick, GA",15260,59330.0,6512.0608,3322.48,56720.0,8161.56580064,4164.064184,5.1,4.62214005084354,0.4620291194823202,0.23572914259302052,5.6,15-0000,Computer and mathematical science occupations,GA,200.0,19.991999999999997,10.2,2008
"Columbus, GA-AL",17980,68270.0,3077.6116,1570.21,70530.0,3857.17061828,1967.944193,9.6,28.209109730848862,5.307826086956522,2.708074534161491,2.3,15-0000,Computer and mathematical science occupations,GA,3270.0,615.2832,313.92,2008
"Dalton, GA",19140,60940.0,8360.968,4265.8,58160.0,10478.8011944,5346.32714,9.9,20.953660174613834,4.065848220282068,2.0744123572867696,7.0,15-0000,Computer and mathematical science occupations,GA,1560.0,302.7024,154.44,2008
"Gainesville, GA",23580,53030.0,3429.9804,1749.99,50470.0,4298.79443532,2193.262467,12.2,6.32996632996633,1.5136215488215488,0.7722558922558922,3.3,15-0000,Computer and mathematical science occupations,GA,470.0,112.38640000000001,57.34,2008
"Hinesville-Fort Stewart, GA",25980,58190.0,11519.292399999998,5877.19,53290.0,14437.12916492,7365.882227,19.5,15.434083601286172,5.898906752411576,3.009646302250804,10.1,15-0000,Computer and mathematical science occupations,GA,240.0,91.728,46.8,2008
"Macon, GA",31420,52980.0,4049.7911999999997,2066.22,47500.0,5075.60331096,2589.593526,5.6,12.037315678603672,1.321215768883539,0.6740896780018056,3.9,15-0000,Computer and mathematical science occupations,GA,1200.0,131.712,67.2,2008
"Rome, GA",40660,46220.0,4257.7864,2172.34,39900.0,5336.283695120001,2722.5937220000005,3.6,10.201542672306545,0.7198208509579498,0.36725553620303564,4.7,15-0000,Computer and mathematical science occupations,GA,410.0,28.9296,14.76,2008
"Savannah, GA",42340,53360.0,2510.0544,1280.64,51160.0,3145.85117952,1605.0261120000002,7.9,8.331718659174578,1.2900833171865917,0.6582057740747917,2.4,15-0000,Computer and mathematical science occupations,GA,1290.0,199.7436,101.91,2008
"Valdosta, GA",46660,47220.0,2869.0872,1463.82,43480.0,3595.8269877600005,1834.6056060000003,5.5,4.537205081669692,0.4891107078039928,0.24954627949183306,3.1,15-0000,Computer and mathematical science occupations,GA,250.0,26.95,13.75,2008
"Warner Robins, GA",47580,72010.0,2822.792,1440.2,71240.0,3537.8052136,1805.00266,6.6,27.71194165907019,3.58481677301732,1.8289881494986326,2.0,15-0000,Computer and mathematical science occupations,GA,1520.0,196.6272,100.32,2008
"Honolulu, HI",26180,65060.0,2805.3871999999997,1431.32,63360.0,3515.9917777600003,1793.8733560000003,4.5,16.64601869579908,1.4681788489694787,0.7490708413109586,2.2,15-0000,Computer and mathematical science occupations,HI,7390.0,651.798,332.55,2008
"Ames, IA",11180,59610.0,2804.0544,1430.64,58730.0,3514.3213795200004,1793.0211120000001,5.3,25.047709923664122,2.601956106870229,1.3275286259541985,2.4,15-0000,Computer and mathematical science occupations,IA,1050.0,109.074,55.65,2008
"Cedar Rapids, IA",16300,67810.0,3721.4128,1898.68,66990.0,4664.04666224,2379.615644,2.5,41.80345808710878,2.04836944626833,1.0450864521777194,2.8,15-0000,Computer and mathematical science occupations,IA,5730.0,280.77,143.25,2008
