Occupation,OCC_CODE,OCC_GROUP,A_MEDIAN
Computer Systems Analysts,15-1121,detailed,80520.0
Information Security Analysts,15-1122,detailed,94680.0
Computer Programmers,15-1131,detailed,84930.0
"Software Developers, Systems Software",15-1133,detailed,120980.0
Web Developers,15-1134,detailed,46930.0
Database Administrators,15-1141,detailed,78610.0
Network and Computer Systems Administrators,15-1142,detailed,79030.0
Computer Network Architects,15-1143,detailed,105990.0
Computer User Support Specialists,15-1151,detailed,56900.0
Computer Network Support Specialists,15-1152,detailed,52300.0
"Computer Occupations, All Other",15-1199,detailed,94330.0
Operations Research Analysts,15-2031,detailed,74460.0
Computer Systems Analysts,15-1121,detailed,78360.0
Computer Programmers,15-1131,detailed,72900.0
"Software Developers, Applications",15-1132,detailed,87180.0
Network and Computer Systems Administrators,15-1142,detailed,79400.0
Computer User Support Specialists,15-1151,detailed,62920.0
"Computer Occupations, All Other",15-1199,detailed,82970.0
Network and Computer Systems Administrators,15-1142,detailed,59330.0
Computer User Support Specialists,15-1151,detailed,30320.0
Computer Systems Analysts,15-1121,detailed,61880.0
Computer Programmers,15-1131,detailed,54500.0
"Software Developers, Applications",15-1132,detailed,94460.0
"Software Developers, Systems Software",15-1133,detailed,84090.0
Network and Computer Systems Administrators,15-1142,detailed,74100.0
Computer User Support Specialists,15-1151,detailed,56200.0
Computer Network Support Specialists,15-1152,detailed,63040.0
Computer Systems Analysts,15-1121,detailed,74840.0
Information Security Analysts,15-1122,detailed,91830.0
Computer Programmers,15-1131,detailed,81990.0
"Software Developers, Applications",15-1132,detailed,84080.0
"Software Developers, Systems Software",15-1133,detailed,94610.0
Web Developers,15-1134,detailed,67150.0
Database Administrators,15-1141,detailed,90910.0
Network and Computer Systems Administrators,15-1142,detailed,79520.0
Computer Network Architects,15-1143,detailed,105700.0
Computer User Support Specialists,15-1151,detailed,47150.0
Computer Network Support Specialists,15-1152,detailed,69110.0
"Computer Occupations, All Other",15-1199,detailed,81800.0
Actuaries,15-2011,detailed,77860.0
Operations Research Analysts,15-2031,detailed,75230.0
Statisticians,15-2041,detailed,68940.0
Computer Programmers,15-1131,detailed,55910.0
Web Developers,15-1134,detailed,49840.0
Network and Computer Systems Administrators,15-1142,detailed,68970.0
Computer User Support Specialists,15-1151,detailed,42430.0
Computer Systems Analysts,15-1121,detailed,88280.0
Computer Programmers,15-1131,detailed,87840.0
Network and Computer Systems Administrators,15-1142,detailed,67430.0
Computer User Support Specialists,15-1151,detailed,45860.0
Computer Programmers,15-1131,detailed,69530.0
Network and Computer Systems Administrators,15-1142,detailed,57470.0
Computer User Support Specialists,15-1151,detailed,42330.0
Computer Programmers,15-1131,detailed,61760.0
Network and Computer Systems Administrators,15-1142,detailed,57260.0
Computer User Support Specialists,15-1151,detailed,46330.0
Computer and Information Research Scientists,15-1111,detailed,124170.0
Computer Systems Analysts,15-1121,detailed,89470.0
Information Security Analysts,15-1122,detailed,84580.0
Computer Programmers,15-1131,detailed,102460.0
"Software Developers, Applications",15-1132,detailed,99570.0
"Software Developers, Systems Software",15-1133,detailed,106200.0
Web Developers,15-1134,detailed,61290.0
Database Administrators,15-1141,detailed,91340.0
Network and Computer Systems Administrators,15-1142,detailed,72620.0
Computer Network Architects,15-1143,detailed,96560.0
Computer User Support Specialists,15-1151,detailed,44360.0
Computer Network Support Specialists,15-1152,detailed,63010.0
"Computer Occupations, All Other",15-1199,detailed,93340.0
Operations Research Analysts,15-2031,detailed,97350.0
Computer Systems Analysts,15-1121,detailed,62360.0
Computer Programmers,15-1131,detailed,64510.0
"Software Developers, Applications",15-1132,detailed,63140.0
"Software Developers, Systems Software",15-1133,detailed,71860.0
Web Developers,15-1134,detailed,50250.0
Database Administrators,15-1141,detailed,70730.0
Network and Computer Systems Administrators,15-1142,detailed,63560.0
Computer User Support Specialists,15-1151,detailed,45570.0
Computer Network Support Specialists,15-1152,detailed,53410.0
Computer Systems Analysts,15-1121,detailed,82160.0
Information Security Analysts,15-1122,detailed,95180.0
Computer Programmers,15-1131,detailed,79330.0
"Software Developers, Applications",15-1132,detailed,88550.0
"Software Developers, Systems Software",15-1133,detailed,89700.0
Web Developers,15-1134,detailed,64270.0
Database Administrators,15-1141,detailed,75970.0
Network and Computer Systems Administrators,15-1142,detailed,66100.0
Computer Network Architects,15-1143,detailed,98730.0
Computer User Support Specialists,15-1151,detailed,54820.0
Computer Network Support Specialists,15-1152,detailed,61050.0
"Computer Occupations, All Other",15-1199,detailed,89010.0
Statisticians,15-2041,detailed,56270.0
Computer Systems Analysts,15-1121,detailed,79150.0
Computer Programmers,15-1131,detailed,67690.0
"Software Developers, Applications",15-1132,detailed,70260.0
Web Developers,15-1134,detailed,52520.0
Database Administrators,15-1141,detailed,72560.0
Network and Computer Systems Administrators,15-1142,detailed,62920.0
Computer User Support Specialists,15-1151,detailed,43160.0
Computer Systems Analysts,15-1121,detailed,71630.0
Information Security Analysts,15-1122,detailed,85680.0
Computer Programmers,15-1131,detailed,59030.0
"Software Developers, Applications",15-1132,detailed,88440.0
"Software Developers, Systems Software",15-1133,detailed,86290.0
Web Developers,15-1134,detailed,57150.0
Database Administrators,15-1141,detailed,80980.0
Network and Computer Systems Administrators,15-1142,detailed,65780.0
Computer Network Architects,15-1143,detailed,74580.0
Computer User Support Specialists,15-1151,detailed,40700.0
Computer Network Support Specialists,15-1152,detailed,37460.0
"Computer Occupations, All Other",15-1199,detailed,59760.0
Operations Research Analysts,15-2031,detailed,61380.0
Computer Systems Analysts,15-1121,detailed,55680.0
Information Security Analysts,15-1122,detailed,65420.0
Computer Programmers,15-1131,detailed,64210.0
"Software Developers, Applications",15-1132,detailed,60610.0
"Software Developers, Systems Software",15-1133,detailed,85360.0
Database Administrators,15-1141,detailed,61060.0
Network and Computer Systems Administrators,15-1142,detailed,65970.0
Computer Network Architects,15-1143,detailed,91870.0
Computer User Support Specialists,15-1151,detailed,35170.0
Computer Network Support Specialists,15-1152,detailed,50310.0
"Computer Occupations, All Other",15-1199,detailed,72030.0
Network and Computer Systems Administrators,15-1142,detailed,49890.0
Computer User Support Specialists,15-1151,detailed,28600.0
Computer Systems Analysts,15-1121,detailed,48360.0
Computer Programmers,15-1131,detailed,67820.0
"Software Developers, Applications",15-1132,detailed,58530.0
Network and Computer Systems Administrators,15-1142,detailed,50720.0
Computer User Support Specialists,15-1151,detailed,35030.0
Operations Research Analysts,15-2031,detailed,47260.0
Computer Systems Analysts,15-1121,detailed,68470.0
Information Security Analysts,15-1122,detailed,84890.0
Computer Programmers,15-1131,detailed,67520.0
"Software Developers, Applications",15-1132,detailed,80240.0
"Software Developers, Systems Software",15-1133,detailed,79740.0
Web Developers,15-1134,detailed,48710.0
Database Administrators,15-1141,detailed,78230.0
Network and Computer Systems Administrators,15-1142,detailed,67630.0
Computer Network Architects,15-1143,detailed,81450.0
Computer User Support Specialists,15-1151,detailed,43570.0
Computer Network Support Specialists,15-1152,detailed,46790.0
"Computer Occupations, All Other",15-1199,detailed,79380.0
Actuaries,15-2011,detailed,104740.0
Operations Research Analysts,15-2031,detailed,58600.0
Statisticians,15-2041,detailed,53480.0
Computer User Support Specialists,15-1151,detailed,35610.0
Operations Research Analysts,15-2031,detailed,44260.0
Computer Systems Analysts,15-1121,detailed,64220.0
Computer Programmers,15-1131,detailed,59330.0
"Software Developers, Applications",15-1132,detailed,86650.0
Web Developers,15-1134,detailed,64970.0
Network and Computer Systems Administrators,15-1142,detailed,73660.0
Computer User Support Specialists,15-1151,detailed,48220.0
Computer Network Support Specialists,15-1152,detailed,56520.0
"Computer Occupations, All Other",15-1199,detailed,60910.0
Computer Systems Analysts,15-1121,detailed,86140.0
Network and Computer Systems Administrators,15-1142,detailed,61770.0
Computer User Support Specialists,15-1151,detailed,34200.0
"Computer Occupations, All Other",15-1199,detailed,81750.0
Computer and Information Research Scientists,15-1111,detailed,124130.0
Computer Systems Analysts,15-1121,detailed,90650.0
Information Security Analysts,15-1122,detailed,85340.0
Computer Programmers,15-1131,detailed,80840.0
"Software Developers, Applications",15-1132,detailed,96840.0
"Software Developers, Systems Software",15-1133,detailed,101500.0
Web Developers,15-1134,detailed,62870.0
Database Administrators,15-1141,detailed,88930.0
Network and Computer Systems Administrators,15-1142,detailed,79910.0
Computer Network Architects,15-1143,detailed,101520.0
Computer User Support Specialists,15-1151,detailed,47080.0
Computer Network Support Specialists,15-1152,detailed,59100.0
"Computer Occupations, All Other",15-1199,detailed,80310.0
Operations Research Analysts,15-2031,detailed,68610.0
Statisticians,15-2041,detailed,75520.0
Computer Systems Analysts,15-1121,detailed,73540.0
Computer Programmers,15-1131,detailed,49910.0
"Software Developers, Applications",15-1132,detailed,61170.0
Web Developers,15-1134,detailed,28350.0
Network and Computer Systems Administrators,15-1142,detailed,70990.0
Computer User Support Specialists,15-1151,detailed,42220.0
"Computer Occupations, All Other",15-1199,detailed,74110.0
Computer and Information Research Scientists,15-1111,detailed,106380.0
Computer Systems Analysts,15-1121,detailed,89450.0
Information Security Analysts,15-1122,detailed,82140.0
"Software Developers, Applications",15-1132,detailed,83420.0
"Software Developers, Systems Software",15-1133,detailed,96660.0
Network and Computer Systems Administrators,15-1142,detailed,70190.0
Computer Network Architects,15-1143,detailed,85720.0
Computer User Support Specialists,15-1151,detailed,45370.0
Computer Network Support Specialists,15-1152,detailed,65510.0
"Computer Occupations, All Other",15-1199,detailed,100630.0
Operations Research Analysts,15-2031,detailed,77270.0
Computer and Information Research Scientists,15-1111,detailed,90910.0
Computer Systems Analysts,15-1121,detailed,74780.0
Information Security Analysts,15-1122,detailed,75250.0
Computer Programmers,15-1131,detailed,84530.0
"Software Developers, Applications",15-1132,detailed,78340.0
"Software Developers, Systems Software",15-1133,detailed,104750.0
Web Developers,15-1134,detailed,61280.0
Database Administrators,15-1141,detailed,73640.0
Network and Computer Systems Administrators,15-1142,detailed,70590.0
Computer Network Architects,15-1143,detailed,74760.0
Computer User Support Specialists,15-1151,detailed,48670.0
Computer Network Support Specialists,15-1152,detailed,49930.0
"Computer Occupations, All Other",15-1199,detailed,72280.0
Operations Research Analysts,15-2031,detailed,79080.0
Statisticians,15-2041,detailed,77520.0
Computer Systems Analysts,15-1121,detailed,71990.0
"Software Developers, Applications",15-1132,detailed,90860.0
Network and Computer Systems Administrators,15-1142,detailed,63350.0
Computer User Support Specialists,15-1151,detailed,43430.0
"Computer Occupations, All Other",15-1199,detailed,80270.0
Operations Research Analysts,15-2031,detailed,78450.0
Computer and Information Research Scientists,15-1111,detailed,94240.0
Computer Systems Analysts,15-1121,detailed,94580.0
Information Security Analysts,15-1122,detailed,94030.0
Computer Programmers,15-1131,detailed,87150.0
"Software Developers, Applications",15-1132,detailed,117090.0
"Software Developers, Systems Software",15-1133,detailed,112710.0
Web Developers,15-1134,detailed,66530.0
Database Administrators,15-1141,detailed,88040.0
Network and Computer Systems Administrators,15-1142,detailed,89110.0
Computer Network Architects,15-1143,detailed,108310.0
Computer User Support Specialists,15-1151,detailed,55810.0
Computer Network Support Specialists,15-1152,detailed,70850.0
"Computer Occupations, All Other",15-1199,detailed,86790.0
Actuaries,15-2011,detailed,101980.0
Operations Research Analysts,15-2031,detailed,87010.0
Statisticians,15-2041,detailed,87910.0
Computer and Information Research Scientists,15-1111,detailed,114860.0
Computer Systems Analysts,15-1121,detailed,90300.0
Information Security Analysts,15-1122,detailed,83000.0
Computer Programmers,15-1131,detailed,83610.0
"Software Developers, Applications",15-1132,detailed,108320.0
"Software Developers, Systems Software",15-1133,detailed,104890.0
Web Developers,15-1134,detailed,47790.0
Database Administrators,15-1141,detailed,69660.0
Network and Computer Systems Administrators,15-1142,detailed,79330.0
Computer Network Architects,15-1143,detailed,86650.0
Computer User Support Specialists,15-1151,detailed,49080.0
Computer Network Support Specialists,15-1152,detailed,59560.0
"Computer Occupations, All Other",15-1199,detailed,91720.0
Operations Research Analysts,15-2031,detailed,88360.0
Computer Systems Analysts,15-1121,detailed,67550.0
Computer Programmers,15-1131,detailed,84680.0
"Software Developers, Applications",15-1132,detailed,111340.0
"Software Developers, Systems Software",15-1133,detailed,110020.0
Web Developers,15-1134,detailed,50240.0
Database Administrators,15-1141,detailed,70870.0
Network and Computer Systems Administrators,15-1142,detailed,80970.0
Computer User Support Specialists,15-1151,detailed,41710.0
Computer Network Support Specialists,15-1152,detailed,54130.0
"Computer Occupations, All Other",15-1199,detailed,41650.0
Computer Systems Analysts,15-1121,detailed,73950.0
Network and Computer Systems Administrators,15-1142,detailed,73860.0
Computer User Support Specialists,15-1151,detailed,44660.0
Computer Network Support Specialists,15-1152,detailed,63060.0
Computer Systems Analysts,15-1121,detailed,74590.0
Information Security Analysts,15-1122,detailed,90570.0
Computer Programmers,15-1131,detailed,77450.0
"Software Developers, Applications",15-1132,detailed,100570.0
"Software Developers, Systems Software",15-1133,detailed,79570.0
Web Developers,15-1134,detailed,64970.0
Database Administrators,15-1141,detailed,85470.0
Network and Computer Systems Administrators,15-1142,detailed,75790.0
Computer Network Architects,15-1143,detailed,123380.0
Computer User Support Specialists,15-1151,detailed,47470.0
Computer Network Support Specialists,15-1152,detailed,68650.0
"Computer Occupations, All Other",15-1199,detailed,79950.0
Operations Research Analysts,15-2031,detailed,72190.0
Computer Systems Analysts,15-1121,detailed,75320.0
Computer User Support Specialists,15-1151,detailed,45970.0
"Computer Occupations, All Other",15-1199,detailed,39290.0
Computer and Information Research Scientists,15-1111,detailed,119850.0
Computer Systems Analysts,15-1121,detailed,92170.0
Information Security Analysts,15-1122,detailed,105090.0
Computer Programmers,15-1131,detailed,88100.0
"Software Developers, Applications",15-1132,detailed,109960.0
"Software Developers, Systems Software",15-1133,detailed,122180.0
Web Developers,15-1134,detailed,68050.0
Database Administrators,15-1141,detailed,97670.0
Network and Computer Systems Administrators,15-1142,detailed,89470.0
Computer Network Architects,15-1143,detailed,114520.0
Computer User Support Specialists,15-1151,detailed,55020.0
Computer Network Support Specialists,15-1152,detailed,68760.0
"Computer Occupations, All Other",15-1199,detailed,77760.0
Actuaries,15-2011,detailed,102910.0
Mathematicians,15-2021,detailed,65220.0
Operations Research Analysts,15-2031,detailed,86900.0
Statisticians,15-2041,detailed,79010.0
Computer Systems Analysts,15-1121,detailed,82200.0
Network and Computer Systems Administrators,15-1142,detailed,71080.0
Computer User Support Specialists,15-1151,detailed,50220.0
Computer Systems Analysts,15-1121,detailed,75830.0
"Software Developers, Applications",15-1132,detailed,84850.0
Network and Computer Systems Administrators,15-1142,detailed,80600.0
Computer User Support Specialists,15-1151,detailed,47090.0
Computer Network Support Specialists,15-1152,detailed,68680.0
"Computer Occupations, All Other",15-1199,detailed,58040.0
Statisticians,15-2041,detailed,60570.0
Computer Systems Analysts,15-1121,detailed,71370.0
Computer Programmers,15-1131,detailed,69520.0
"Software Developers, Applications",15-1132,detailed,80370.0
"Software Developers, Systems Software",15-1133,detailed,87640.0
Database Administrators,15-1141,detailed,69060.0
Network and Computer Systems Administrators,15-1142,detailed,78010.0
Computer Network Architects,15-1143,detailed,68120.0
Computer User Support Specialists,15-1151,detailed,49730.0
Computer Network Support Specialists,15-1152,detailed,71670.0
"Computer Occupations, All Other",15-1199,detailed,64030.0
Operations Research Analysts,15-2031,detailed,82350.0
Computer Systems Analysts,15-1121,detailed,83980.0
Computer Programmers,15-1131,detailed,85030.0
"Software Developers, Applications",15-1132,detailed,120980.0
Web Developers,15-1134,detailed,69520.0
Network and Computer Systems Administrators,15-1142,detailed,81000.0
Computer User Support Specialists,15-1151,detailed,56950.0
Computer Network Support Specialists,15-1152,detailed,82550.0
"Computer Occupations, All Other",15-1199,detailed,66040.0
Computer and Information Research Scientists,15-1111,detailed,111510.0
Computer Systems Analysts,15-1121,detailed,97390.0
Information Security Analysts,15-1122,detailed,119610.0
"Software Developers, Applications",15-1132,detailed,122080.0
"Software Developers, Systems Software",15-1133,detailed,129020.0
Web Developers,15-1134,detailed,80100.0
Database Administrators,15-1141,detailed,105000.0
Network and Computer Systems Administrators,15-1142,detailed,103100.0
Computer Network Architects,15-1143,detailed,129110.0
Computer User Support Specialists,15-1151,detailed,60770.0
Computer Network Support Specialists,15-1152,detailed,78610.0
"Computer Occupations, All Other",15-1199,detailed,104090.0
Mathematicians,15-2021,detailed,86370.0
Operations Research Analysts,15-2031,detailed,98980.0
Statisticians,15-2041,detailed,74470.0
Computer and Information Research Scientists,15-1111,detailed,112720.0
Computer Systems Analysts,15-1121,detailed,102950.0
Computer Programmers,15-1131,detailed,77000.0
"Software Developers, Applications",15-1132,detailed,106560.0
"Software Developers, Systems Software",15-1133,detailed,102940.0
Web Developers,15-1134,detailed,57610.0
Database Administrators,15-1141,detailed,78800.0
Network and Computer Systems Administrators,15-1142,detailed,85520.0
Computer Network Architects,15-1143,detailed,127770.0
Computer User Support Specialists,15-1151,detailed,51480.0
Computer Network Support Specialists,15-1152,detailed,77620.0
"Computer Occupations, All Other",15-1199,detailed,95240.0
Operations Research Analysts,15-2031,detailed,80870.0
Computer Systems Analysts,15-1121,detailed,81710.0
Network and Computer Systems Administrators,15-1142,detailed,80680.0
Computer User Support Specialists,15-1151,detailed,40150.0
Computer Network Support Specialists,15-1152,detailed,68330.0
"Computer Occupations, All Other",15-1199,detailed,54610.0
Computer and Information Research Scientists,15-1111,detailed,117960.0
Computer Systems Analysts,15-1121,detailed,78930.0
Information Security Analysts,15-1122,detailed,97930.0
Computer Programmers,15-1131,detailed,79120.0
"Software Developers, Applications",15-1132,detailed,97030.0
"Software Developers, Systems Software",15-1133,detailed,101820.0
Web Developers,15-1134,detailed,53090.0
Database Administrators,15-1141,detailed,86290.0
Network and Computer Systems Administrators,15-1142,detailed,75330.0
Computer Network Architects,15-1143,detailed,95930.0
Computer User Support Specialists,15-1151,detailed,53510.0
Computer Network Support Specialists,15-1152,detailed,61120.0
"Computer Occupations, All Other",15-1199,detailed,80460.0
Operations Research Analysts,15-2031,detailed,84690.0
Statisticians,15-2041,detailed,73100.0
Computer and Information Research Scientists,15-1111,detailed,108450.0
Computer Systems Analysts,15-1121,detailed,83970.0
Information Security Analysts,15-1122,detailed,113750.0
Computer Programmers,15-1131,detailed,84930.0
"Software Developers, Applications",15-1132,detailed,97920.0
"Software Developers, Systems Software",15-1133,detailed,93220.0
Database Administrators,15-1141,detailed,83700.0
Network and Computer Systems Administrators,15-1142,detailed,89110.0
Computer Network Architects,15-1143,detailed,121550.0
Computer User Support Specialists,15-1151,detailed,54930.0
Computer Network Support Specialists,15-1152,detailed,71900.0
"Computer Occupations, All Other",15-1199,detailed,91950.0
Actuaries,15-2011,detailed,112390.0
Operations Research Analysts,15-2031,detailed,68370.0
Statisticians,15-2041,detailed,73850.0
Computer Systems Analysts,15-1121,detailed,91690.0
Computer Programmers,15-1131,detailed,102170.0
"Software Developers, Applications",15-1132,detailed,98020.0
"Software Developers, Systems Software",15-1133,detailed,97630.0
Web Developers,15-1134,detailed,59730.0
Database Administrators,15-1141,detailed,93820.0
Computer User Support Specialists,15-1151,detailed,53750.0
Computer Network Support Specialists,15-1152,detailed,57790.0
"Computer Occupations, All Other",15-1199,detailed,107480.0
Operations Research Analysts,15-2031,detailed,104450.0
Computer and Information Research Scientists,15-1111,detailed,121350.0
Computer Systems Analysts,15-1121,detailed,95390.0
Information Security Analysts,15-1122,detailed,96960.0
Computer Programmers,15-1131,detailed,100480.0
"Software Developers, Applications",15-1132,detailed,106440.0
"Software Developers, Systems Software",15-1133,detailed,115220.0
Web Developers,15-1134,detailed,54490.0
Database Administrators,15-1141,detailed,94010.0
Network and Computer Systems Administrators,15-1142,detailed,86400.0
Computer Network Architects,15-1143,detailed,119370.0
Computer User Support Specialists,15-1151,detailed,57050.0
Computer Network Support Specialists,15-1152,detailed,69720.0
"Computer Occupations, All Other",15-1199,detailed,87790.0
Mathematicians,15-2021,detailed,131500.0
Operations Research Analysts,15-2031,detailed,86880.0
Statisticians,15-2041,detailed,105890.0
Computer and Information Research Scientists,15-1111,detailed,131170.0
Computer Systems Analysts,15-1121,detailed,117920.0
Information Security Analysts,15-1122,detailed,116280.0
Computer Programmers,15-1131,detailed,105660.0
"Software Developers, Applications",15-1132,detailed,138040.0
"Software Developers, Systems Software",15-1133,detailed,136150.0
Web Developers,15-1134,detailed,111840.0
Database Administrators,15-1141,detailed,107240.0
Network and Computer Systems Administrators,15-1142,detailed,107100.0
Computer Network Architects,15-1143,detailed,133280.0
Computer User Support Specialists,15-1151,detailed,71050.0
Computer Network Support Specialists,15-1152,detailed,77390.0
"Computer Occupations, All Other",15-1199,detailed,113270.0
Actuaries,15-2011,detailed,133280.0
Mathematicians,15-2021,detailed,124960.0
Operations Research Analysts,15-2031,detailed,110570.0
Statisticians,15-2041,detailed,120040.0
Computer and Information Research Scientists,15-1111,detailed,153290.0
Computer Systems Analysts,15-1121,detailed,116790.0
Information Security Analysts,15-1122,detailed,116390.0
Computer Programmers,15-1131,detailed,107210.0
"Software Developers, Applications",15-1132,detailed,127210.0
"Software Developers, Systems Software",15-1133,detailed,139960.0
Web Developers,15-1134,detailed,88260.0
Database Administrators,15-1141,detailed,103120.0
Network and Computer Systems Administrators,15-1142,detailed,102480.0
Computer Network Architects,15-1143,detailed,146940.0
Computer User Support Specialists,15-1151,detailed,73540.0
Computer Network Support Specialists,15-1152,detailed,83880.0
"Computer Occupations, All Other",15-1199,detailed,124410.0
Mathematicians,15-2021,detailed,79410.0
Operations Research Analysts,15-2031,detailed,82910.0
Statisticians,15-2041,detailed,109760.0
Computer Systems Analysts,15-1121,detailed,78020.0
Computer Programmers,15-1131,detailed,93370.0
"Software Developers, Applications",15-1132,detailed,59950.0
"Software Developers, Systems Software",15-1133,detailed,79160.0
Web Developers,15-1134,detailed,50070.0
Database Administrators,15-1141,detailed,68160.0
Network and Computer Systems Administrators,15-1142,detailed,80390.0
Computer User Support Specialists,15-1151,detailed,46120.0
Computer Network Support Specialists,15-1152,detailed,59880.0
"Computer Occupations, All Other",15-1199,detailed,69300.0
Computer Systems Analysts,15-1121,detailed,103830.0
Information Security Analysts,15-1122,detailed,80960.0
Computer Programmers,15-1131,detailed,104640.0
"Software Developers, Applications",15-1132,detailed,120410.0
"Software Developers, Systems Software",15-1133,detailed,123500.0
Web Developers,15-1134,detailed,96920.0
Database Administrators,15-1141,detailed,82110.0
Network and Computer Systems Administrators,15-1142,detailed,94370.0
Computer Network Architects,15-1143,detailed,115280.0
Computer User Support Specialists,15-1151,detailed,64050.0
Computer Network Support Specialists,15-1152,detailed,66410.0
"Computer Occupations, All Other",15-1199,detailed,94080.0
Computer and Information Research Scientists,15-1111,detailed,59720.0
Computer Systems Analysts,15-1121,detailed,92420.0
Computer Programmers,15-1131,detailed,94400.0
"Software Developers, Applications",15-1132,detailed,115350.0
"Software Developers, Systems Software",15-1133,detailed,102310.0
Web Developers,15-1134,detailed,55480.0
Database Administrators,15-1141,detailed,78030.0
Computer Network Architects,15-1143,detailed,87260.0
Computer User Support Specialists,15-1151,detailed,54370.0
Computer Network Support Specialists,15-1152,detailed,78500.0
"Computer Occupations, All Other",15-1199,detailed,87570.0
Operations Research Analysts,15-2031,detailed,110840.0
Statisticians,15-2041,detailed,96220.0
Computer and Information Research Scientists,15-1111,detailed,112800.0
Computer Systems Analysts,15-1121,detailed,99970.0
Information Security Analysts,15-1122,detailed,99400.0
Computer Programmers,15-1131,detailed,88300.0
"Software Developers, Applications",15-1132,detailed,97450.0
"Software Developers, Systems Software",15-1133,detailed,122770.0
Web Developers,15-1134,detailed,81530.0
Database Administrators,15-1141,detailed,67910.0
Network and Computer Systems Administrators,15-1142,detailed,85300.0
Computer Network Architects,15-1143,detailed,126740.0
Computer User Support Specialists,15-1151,detailed,59700.0
Computer Network Support Specialists,15-1152,detailed,79010.0
"Computer Occupations, All Other",15-1199,detailed,72540.0
Operations Research Analysts,15-2031,detailed,90570.0
Computer Systems Analysts,15-1121,detailed,92540.0
Computer Programmers,15-1131,detailed,89270.0
"Software Developers, Applications",15-1132,detailed,112740.0
"Software Developers, Systems Software",15-1133,detailed,116840.0
Web Developers,15-1134,detailed,73840.0
Database Administrators,15-1141,detailed,64070.0
Network and Computer Systems Administrators,15-1142,detailed,80240.0
Computer Network Architects,15-1143,detailed,125430.0
Computer User Support Specialists,15-1151,detailed,58890.0
Computer Network Support Specialists,15-1152,detailed,60700.0
"Computer Occupations, All Other",15-1199,detailed,79650.0
Operations Research Analysts,15-2031,detailed,55340.0
Statisticians,15-2041,detailed,90290.0
Computer Systems Analysts,15-1121,detailed,68190.0
Computer Programmers,15-1131,detailed,87390.0
"Software Developers, Applications",15-1132,detailed,91830.0
"Software Developers, Systems Software",15-1133,detailed,108730.0
Web Developers,15-1134,detailed,64020.0
Database Administrators,15-1141,detailed,83040.0
Network and Computer Systems Administrators,15-1142,detailed,79120.0
Computer Network Architects,15-1143,detailed,99490.0
Computer User Support Specialists,15-1151,detailed,51830.0
Computer Network Support Specialists,15-1152,detailed,58490.0
"Computer Occupations, All Other",15-1199,detailed,94260.0
Operations Research Analysts,15-2031,detailed,79110.0
Computer Systems Analysts,15-1121,detailed,87520.0
Computer Programmers,15-1131,detailed,94150.0
"Software Developers, Applications",15-1132,detailed,115120.0
"Software Developers, Systems Software",15-1133,detailed,110310.0
Web Developers,15-1134,detailed,49920.0
Network and Computer Systems Administrators,15-1142,detailed,84370.0
Computer Network Architects,15-1143,detailed,112680.0
Computer User Support Specialists,15-1151,detailed,50620.0
Computer Network Support Specialists,15-1152,detailed,62340.0
"Computer Occupations, All Other",15-1199,detailed,97990.0
Statisticians,15-2041,detailed,59760.0
Computer Systems Analysts,15-1121,detailed,73880.0
"Software Developers, Applications",15-1132,detailed,98560.0
Database Administrators,15-1141,detailed,58320.0
Network and Computer Systems Administrators,15-1142,detailed,81150.0
Computer User Support Specialists,15-1151,detailed,50430.0
Computer Network Support Specialists,15-1152,detailed,65410.0
"Computer Occupations, All Other",15-1199,detailed,71450.0
Computer User Support Specialists,15-1151,detailed,45150.0
"Computer Occupations, All Other",15-1199,detailed,71460.0
Computer and Information Research Scientists,15-1111,detailed,125000.0
Computer Systems Analysts,15-1121,detailed,92270.0
Information Security Analysts,15-1122,detailed,106280.0
Computer Programmers,15-1131,detailed,80180.0
"Software Developers, Applications",15-1132,detailed,102910.0
"Software Developers, Systems Software",15-1133,detailed,118180.0
Web Developers,15-1134,detailed,72630.0
Database Administrators,15-1141,detailed,82870.0
Network and Computer Systems Administrators,15-1142,detailed,81790.0
Computer Network Architects,15-1143,detailed,101530.0
Computer User Support Specialists,15-1151,detailed,57480.0
Computer Network Support Specialists,15-1152,detailed,67670.0
"Computer Occupations, All Other",15-1199,detailed,90530.0
Operations Research Analysts,15-2031,detailed,88800.0
Statisticians,15-2041,detailed,96110.0
Computer and Information Research Scientists,15-1111,detailed,89240.0
Computer Systems Analysts,15-1121,detailed,96410.0
Information Security Analysts,15-1122,detailed,106020.0
Computer Programmers,15-1131,detailed,98780.0
"Software Developers, Applications",15-1132,detailed,107660.0
"Software Developers, Systems Software",15-1133,detailed,114980.0
Web Developers,15-1134,detailed,63730.0
Database Administrators,15-1141,detailed,88040.0
Network and Computer Systems Administrators,15-1142,detailed,74300.0
Computer Network Architects,15-1143,detailed,92610.0
Computer User Support Specialists,15-1151,detailed,53600.0
Computer Network Support Specialists,15-1152,detailed,85080.0
"Computer Occupations, All Other",15-1199,detailed,88060.0
Operations Research Analysts,15-2031,detailed,103810.0
Statisticians,15-2041,detailed,80630.0
Computer and Information Research Scientists,15-1111,detailed,113300.0
Computer Systems Analysts,15-1121,detailed,92500.0
Information Security Analysts,15-1122,detailed,93430.0
Computer Programmers,15-1131,detailed,95440.0
"Software Developers, Applications",15-1132,detailed,102160.0
"Software Developers, Systems Software",15-1133,detailed,115130.0
